,Title,Company_name,Location,Contract_type,Requirement,Salary,Technical_skills,Link_image,URL
158,AX Software Developer,La Vie Limited Liability Company,Ho Chi Minh,Full-time,"Job description • Business application support: - Daily support users for incidents in Technical & Production: Production management (Production order, maintenance order management), reporting, configuration advisory etc. • Full life cycle of software change request: - Collect change requirement from stakeholder - Design the function to fulfill the change request - Develop the function - Deploy and hyper care • People & Communication - Provide proper training for end-users, effectively operating the AX ERP system - Promote the culture of data driven organization - Cooperate with peer in the cross-function projectsJob requirements • Graduated in Information Technology or Computer science. • 2 years in Microsoft Dynamics AX development (both versions 2012 R3 or D365 is acceptable) is a must.",Negotiable,"SKILLAX System, Dynamics AX 2012, CRM Microsoft Dynamics, Dynamics 365",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F00%2F10914000.png&w=256&q=75,https://www.vietnamworks.com/ax-software-developer-1767370-jd?source=searchResults&searchType=2&placement=1767570&sortBy=date
159,Thực Tập Sinh Business Analyst,Công Ty Cổ Phần HTC Viễn Thông Quốc Tế,"Tầng 6 - Lotus Building, số 2, Duy Tân - Phường Dịch Vọng Hậu - Quận Cầu Giấy - Hà Nội",Full-time,"Job description o Khảo sát, thu thập thông tin và phân tích yêu cầu nghiệp vụ về phát triển phần mềm. o Hỗ trợ đội lập trình và đội kiểm thử trong quá trình phát triển phần mềm. o Xây dựng tài liệu đặc tả, hướng dẫn sử dụng hệ thống. o Thực hiện các công việc khác của quản lý trực tiếp.Job requirements o Sinh viên đang theo học ngành CNTT, Hệ thống thông tin, hoặc các chuyên ngành liên quan. o Có sự quan tâm nhất định đối với ngành IT & Công việc BA (đã từng học khóa học về BA sẽ được ưu tiên). o Có khả năng thu thập, phân tích, tổng hợp các thông tin từ các bộ phận liên quan, nắm bắt vấn đề nhanh. o Chăm chỉ, thật thà và cầu tiến trong công việc.   - Quyền lợi",Negotiable,"SKILLBusiness Analysis, Chứng Khoán, Cải Tiến Sản Phẩm, Kiểm Thử, Phát Triển Dự Án",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fca%2F11175647.png&w=256&q=75,https://www.vietnamworks.com/thuc-tap-sinh-business-analyst-1767022-jd?source=searchResults&searchType=2&placement=1767222&sortBy=date
160,Infrastructure Architect/ IT System (Manufacturing) - Open for Junior Level/freshers,Unilever Vietnam,Củ Chi Factory - Ho Chi Minh,Full-time,"Job description OPEN FOR JUNIOR LEVELS - will be trained about IT skills - Deploy & maintain factory Cyber Security program as local technical authority - Setup & maintain overall factory network architecture, both hardware & configuration - Key member in pilot digital projects, maintaining a strong foundation layer, supporting a robust & sustained digital factory - Build standards & know-how for upskilling factory engineers in term of IT-OT convergence & Cyber Security - Coordinate & work with factory Data Engineer for setting up & maintain data pipeline as well as troubleshooting connectivity issuesJob requirements - Technical background in automation engineer wish to work more in IT field (system, infrastructure, network,...) - Experience in same position from 1 to more than 3 years/ OPEN FOR FRESHER from AUTOMATION/ TELECOM - Able to work at Củ Chi factory from Monday - Saturday (shuttle bus provided) - Solid knowledge on network architecture, hardware connectivity & data transferring protocols is a plus - we can train you",Negotiable,"SKILLInfrastructure, Automation, PLC, Network",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F96%2F10619810.png&w=256&q=75,https://www.vietnamworks.com/infrastructure-architect-it-system-manufacturing-open-for-junior-level-freshers-1754379-jd?source=searchResults&searchType=2&placement=1754579&sortBy=date
161,Senior IT Officer,Công Ty Cổ Phần Chứng Khoán Guotai Junan (Việt Nam),"R9-10, the 1st floor, Charmvit Tower, 117 Tran Duy Hung, Trung Hoa ward, Cau Giay District, Hanoi",Full-time,Job description,Negotiable,"SKILLIT System Administration, IT Operations",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F71%2F11125553.png&w=256&q=75,https://www.vietnamworks.com/senior-it-officer--1765068-jd?source=searchResults&searchType=2&placement=1765268&sortBy=date
162,IT Infrastructure Executive,Công Ty TNHH Panasonic Electric Works Việt Nam,"No.1- No.3 Street 12, VSIP II-A, Vinh Tan Commune, Tan Uyen District",Full-time,"Job description • Support and manage IT operations, systems and networks in Sales Office and Factory. • Manage and solving computer network. • Manage installations, upgrades, and configurations of hardware. • Training staff and support for trouble shooting incident support. • Be responsible for device, information, and security management. • Other related support as on-site technicians for all departments, daily • Incident/Problem/Change/Security Management as must confirmed and approved from Manager and standard process. • Strictly compliance with instruction and report to Manager in periodically • Other some tasks from Manager.Job requirements • Education: University/ College • Language: English communication and writing. • Must have at least 3 years’ experience in managing computer networking operations and system administration in a manufacturing or technical environment.  • Be proficient in computer skills, including Microsoft Office, Power PI pro, network certificate is advanced. • Have good analytical, strategic thinking, and time management skills. • Good problem solving, communication skills  • Team working skills, flexibility, well- organized. • Be capable of working well with management and staff at all levels. • Honesty, Enthusiasm and willing to work and moving between Sales Office and Factory.  * BENEFITS:  • 100% of salary in probation time  • 13th salary, performance bonus. • 24/24 insurance package, annual health check-up; allowance for petrol and attendance. • Company trip, Year-end party. • Many interesting domestic/overseas training courses from Panasonic Group",Negotiable,"SKILLIT System Administration, IT Infrastructure Management, IT Helpdesk",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F96%2F11230485.png&w=256&q=75,https://www.vietnamworks.com/it-infrastructure-executive--1762072-jd?source=searchResults&searchType=2&placement=1762272&sortBy=date
163,Japanese Technical Leader (Swat Team),Hitachi Digital Services,"Helios Building, Đ. Số 1, Tân Chánh Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam
52 Nguyễn Văn Linh, Hải Châu District, Da Nang, Vietnam
Floor 18th, VCCI Tower, 9 Dao Duy Anh Street, Phuong Mai Ward, Dong Da District, Vietnam",Full-time,"Job description • Planning and growing Japanese SWAT team. • Leading and motivating SWAT team, which may include members with varying levels of Japanese proficiency. • Involving in communicating, building business with Japanese client from presale stage. • Addressing client concerns, expectations and resolving issues effectively. • Facilitating effective communication and collaboration among internal/ external teams and with stakeholders. • Managing dependencies between teams and ensure excellent execution. • Proactively identifying potential risks and developing mitigation strategies. • Fostering a positive and productive work environment.Job requirements • Fluency in Japanese and English is essential. • Excellent communication and interpersonal skills. • 10+ years of experience in the software industry. • 10+ hand-on experience in project delivery and business development with Japan. • Sound knowledge of project/ program/ portfolio management. • Leadership experience and the ability to motivate teams. • Problem-solving and analytical skills.",Negotiable,"SKILLJapanese Communication, English Communication, Team Leardership, Software Project Management, Solution Architecture",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fc6%2F11242347.png&w=256&q=75,https://www.vietnamworks.com/japanese-technical-leader-swat-team-1761969-jd?source=searchResults&searchType=2&placement=1762169&sortBy=date
164,Peripheral Account Manager,HP,"Hồ Chí Minh, Thành phố Hồ Chí Minh, Việt Nam",Full-time,"Job description What a Peripheral Account Manager does at HP:  • Serves as the expert to the partner for more advanced information regarding product, services, and software transitions, promotions, and configurations. • Supports sales by analysing opportunities and communicating sales collateral within their area of focus. • May be brought in by partner to sell HP brand to end customers. • Achieves assigned quota for HP assigned products, services, and software • Transactional selling working within a team of selling professionals. • Influences partners to create and maintain their HP funnel. • Influences partner business manager and/or end user sales teams on partners' capabilities and merits. • Ensures partners are compliant with legal and practices.Job requirements Individuals who do well in this role at HP, usually possess:  • University or bachelor’s degree preferred. • Typically, 3-5 years of selling experience at end user account or partner level. • Experience developing positive relationships and solving customer problems. • Understanding of the IT industry, competing vendors, and the channel, including competitive positioning • Understanding of HP's organization & operations, including key business rules, partner segmentation, key programs & initiatives, structure. • Understanding of a select set of HP's products, software, and services. Able to communicate the strengths of HP's offerings and overcome objections. • Effectively sells HP offerings by building strategic relationships with partner contacts; and promoting HP programs and offerings. • Develops account plans with partner to grow HP's share of the business. • Partners effectively with others to ensure coordinated, efficient account management. • Understanding of pipeline management basics and ability to explain benefits to partners.",Negotiable,"SKILLAccount Planning, Account Management, Software Technology, Accounting Software, IT Software",https://images.vietnamworks.com/img/company-default-logo.svg,https://www.vietnamworks.com/peripheral-account-manager--1764687-jd?source=searchResults&searchType=2&placement=1764887&sortBy=date
165,Quản Trị Mạng Data Center,Công Ty Cổ Phần HTC Viễn Thông Quốc Tế,"Tầng 6 - Lotus Building, số 2, Duy Tân - Phường Dịch Vọng Hậu - Quận Cầu Giấy - Hà Nội",Full-time,"Job description - Khai báo, triển khai kênh truyền VPN/Internet trên môi trường mạng DC VXLAN/EVPN  - Xử lý sự cố kênh, sự cố mạng DC - Thực hiện các kế hoạch tác động, kế hoạch bảo trì bảo dưỡng các thiết bị mạng lưới trong DC - Thực hiện mở rộng, nâng cấp mạng lưới theo kế hoạch chung được đề ra của phòng Quản trị mạng. - Rà soát mạng lưới định kỳ, đưa ra các đề xuất nhằm cải thiện chất lượng mạng, cải thiện hiệu quả sử dụng mạng lưới - Tham gia đào tạo, trau dồi kinh nghiệm vận hành cho các kỹ sư vận hành mức 1Job requirements + Tốt nghiệp đại học trở lên chuyên ngành Điện tử Viễn thông hoặc CNTT. + Nắm tốt các kiến thức về giao thức mạng IP Layer 2, Layer 3 (STP,LACP,M-LAG,OSPF,BGP). + Có kiến thức về các công nghệ network mới trong DC là một lợi thế: VXLAN, EVPN, Automation. + Có kinh nghiệm từ 3-5 năm quản trị hệ thống mạng ISP, hoặc mạng doanh nghiệp cỡ vừa và lớn. + Có khả năng giao tiếp tiếng Anh cơ bản, trao đổi công việc với đối tác nước ngoài qua email, chat. + Ưu tiên các ứng viên có chứng chỉ network như CCNA, CCNP, AWS hoặc tương đương.  ***Quyền lợi được hưởng - Lương full time từ 30-35 triệu (phụ thuộc vào kiến thức, kinh nghiệm). - Review lương 01 năm/lần. - Hỗ trợ ăn trưa, xe đưa đón, trang bị máy tính/laptop cho công việc. - Nghỉ phép năm hưởng nguyên lương upto 30 ngày. - Được tham gia đầy đủ chế độ BHXH theo quy định Nhà nước. - Các phúc lợi khác theo quy định Công ty dành cho CBNV và người thân. - Được đào tạo nâng cao chuyên môn, kỹ năng, hội thảo trong và ngoài nước; lộ trình phát triển rõ ràng... - Ngoài ra sẽ tham gia rất nhiều các hoạt động chia sẻ gắn kết nội bộ và cộng đồng (teambuilding, du lịch nghỉ dưỡng, Gala cuối năm,…).  • Làm việc tại: Khu Tổ hợp CNC Hanoi Telecom, ICT Park, Lô E4 – Km 27+300, Đại Lộ Thăng Long, Hà Nội.",Negotiable,"SKILLĐiện Tử Viễn Thông, VPN, Khắc Phục Sự Cố Mạng, Quản Trị Hệ Thống Mạng",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fca%2F11175647.png&w=256&q=75,https://www.vietnamworks.com/quan-tri-mang-data-center-1761900-jd?source=searchResults&searchType=2&placement=1762100&sortBy=date
166,QA Engineer (Calibration),Công Ty TNHH Thiết Bị Dầu Khí Schoeller Bleckmann Vietnam,"Lô B2.6, Đường D3, KCN Đồng An 2, TP. Thủ Dầu Một, Bình Dương",Full-time,"Job description - Work with Technical engineers to create drawing of functional gauges and drift gauges. - Make calibration plans of functional gauges and drift gauges to make sure they are reviewed and calibrated periodically. - Can operate CMM machine to catch up calibration plan. - Make the bubble drawing and inspection report for drift gauges and functional gauges. - Update bubble drawing and inspection report for dift gauges and functional gauges once drawing changed. - Control the quantity and quality measuring and testing equipment in company and make sure their calibration is carried out according to ISO 9001 and API Q1 standards. - Make the plan to buy the measure equipment list for each quarterly in the year. - In charge of internal calibration for micrometers, calipers, and depth gauges, setting rings and length rods. - Maximize usage of calibration software to reduce double entry of data to excel file. - Maintain special processes performance such as shot peening Almen strips documentation and laser cladding test coupon. - In charge of lab room equipment and complete microstructure and hardness reports. - Manage all measurement equipment and make sure all measurement equipement in order and easily to track. - Participant NCR meetings and follow corrective actions. - Take part in internal audits for QMS and OHSE. - Ensuring the strictest and highest confidentiality is adhered all times. - Ensuring all compliance and ethical practices are full adhered to.  ***Term of contract  - Probation for 2 months - Long-term contract - Working in office at Binh Duong - Other details will be discussed in the interview",Negotiable,"SKILLMechanical Engineering, Design, Technical Engineering, QA, ISO 9001",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F92%2F11125361.png&w=256&q=75,https://www.vietnamworks.com/qa-engineer-calibration-1747297-jd?source=searchResults&searchType=2&placement=1747497&sortBy=date
167,Project Implementation Engineer (Chinese Skill),Công Ty TNHH Best Logistics Technology (Việt Nam),"Tân Trào, phường Tân Phú, Quận 7, TPHCM",Full-time,"Job description Responsibilities: 1. Responsible for project planning, program preparation, user training, online support during project implementation; 2. Responsible for on-site communication and business research of project customers to obtain timely and accurate information and requirements; 3. Responsible for analysing and consolidating requirements for product technicians; 4. Responsible for compiling, updating and publishing business processes, product specifications, training materials and other project related documents; 5. Assist sales with pre-sales technical support; 6. Any other tasks assigned by management. 工作职责： 1. 负责项目实施过程中的项目计划、方案编制、用户培训、上线支持等； 2. 负责项目客户现场的沟通和业务调研，获得及时、准确的需求信息； 3. 负责对需求进行分析整理，形成面向产品技术人员的需求规格说明书； 4. 负责编制、更新和发布业务流程、产品说明书、培训材料等项目相关文档； 5. 协助销售进行售前技术支持; 6. 管理层分配的任何其他任务。",$700 - $1200,"SKILLTiếng Trung, ERP Implementation, WMS System, Project Planning, Project Management",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F83%2F11244485.png&w=256&q=75,https://www.vietnamworks.com/project-implementation-engineer-chinese-skill--1758450-jd?source=searchResults&searchType=2&placement=1758650&sortBy=date
168,HN / HCM _ IT Senior Tester,Công Ty TNHH ZIGExN VeNtura,"Tầng 3, tháp 3-4, Tòa nhà Dolphin Plaza, 6 P. Nguyễn Hoàng, Nam Từ Liêm, Hà Nội
Tầng 11 Tòa nhà Vina, 131 Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, TP. Hồ Chí Minh",Full-time,"Job description - Communicate and discuss directly with the development team to clarify requirements. - Create test plans, execute test cases, and make test summary reports. - Analyze test results, test metrics and make project quality reports. - Manage progress, test execution result, bugs. - Define the quality of the tests in each project and give improvement solutions. - Join & instruct team members in defining test solutions, creating test design, test specification. - Cooperate with the project leader to make testing schedule/plan/strategy correspond with the development schedule & company process. - Cooperate with the project leader to solve issues of progress/quality and suggest new test methods to improve project productivity.Job requirements 1. Language - Basic Reading / Writing skills in Japanese (N3).  2. TECHNICAL EXPERIENCES  ● MUST HAVE - At least 3 years of experience as an IT tester. - Good technical knowledge in web development methodologies, design and implementation. - Experience in documenting test cases, bugs and associated reporting. - Good understanding of the entire development process, including specification, documentation and quality assurance. - Ability to manage multiple assigned tasks, with great attention to detail. - Highly motivated and can work independently. - Hands-on experience in usability, browser compatibility, integration, regression, security, performance/load/stress test. - Practical experience in mobile testing and database testing (Postgresql, MySql,..) ● NICE TO HAVE - Experience with search engines (e.g.: Solr, Elastic search). - Familiarity with a cloud service (AWS, GCP) and a testing in these environments - Good to have knowledge of creating and executing automation tests. BENEFITS - MacBook/Laptop/PC is provided to meet your work requirements. - Salary: Negotiable based on your skills. - 100% salary on 2 months of probation - 13th month salary. - Up to 18 days of paid leave for employees over 1 year working. - Technical & language Certification support programs. - Performance appraisal and salary review twice a year. - Full gross salary payment for compulsory insurance. - Awards for most outstanding individuals every quarter, every year. BE RECOGNIZED - Well Training and Developing Environment ● Provide training for skill-up ● Regularly receive feedback from Manager. ● ""6 months"" Performance Evaluation for Career Development and Goal Setting ● Salary review twice per year POSITIVE Team with lots of FUN & CHILLs ● Providing Free Snacks (Fresh Milk, Coffee, Tea, Yogurt, Red Bulls, etc.) ● Happy Events: Birthday, Pizza Party, X-mas, Halloween, Full Moon Festival, etc. ● Sports activities: Football, Table Tennis, Swimming Clubs, Badminton, etc. ● Company Events: Quarterly Event, Year End Party, Yearly Company Trip and Other Occasionally Events/BBQ,etc. ● Intensive events: Technical & language certification Support Program, etc. We care about your HEALTH - Bao Viet Premium Health-care packages - Annual Health-care checkup",Negotiable,"SKILLTesting, Testing Analyst, Test Cases, Software Manual Testing, IT Operations",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fab%2F10322473.png&w=256&q=75,https://www.vietnamworks.com/hn-hcm-it-senior-tester--1758093-jd?source=searchResults&searchType=2&placement=1758293&sortBy=date
169,Giảng Viên Công Nghệ Thông Tin (Software Engineering),Đại Học FPT TP.HCM,"Lô E2a-7, Đường D1, Đ. D1, Long Thạnh Mỹ, Thành Phố Thủ Đức, Thành phố Hồ Chí Minh",Full-time,"Job description - Giảng dạy các môn học thuộc chuyên ngành công nghệ thông tin. - Thực hiện các công việc khác ngoài chuyên môn theo phân công của bộ môn.Job requirements - Tốt nghiệp Thạc sĩ chuyên ngành công nghệ phần mềm/ công nghệ thông tin - Có kinh nghiệm làm dự án phần mềm. - Có khả năng giảng dạy các môn học: software architecture design, .NET, ReactJS/NodeJS - Ưu tiên học vị tiến sĩ, có khả năng nghiên cứu. - Ưu tiên có kinh nghiệm giảng dạy bằng tiếng Anh.",$1000 - $2000,"SKILLCông Nghệ Thông Tin, Công Nghệ Phần Mềm, Software Engineering, IT Phần Mềm, Giáo Dục Đào Tạo",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fd2%2F11099040.png&w=256&q=75,https://www.vietnamworks.com/giang-vien-cong-nghe-thong-tin-software-engineering--1758511-jd?source=searchResults&searchType=2&placement=1758711&sortBy=date
170,C++ Software Engineer (Salary Up to $3000),"Praxis Automation Vietnam CO., LTD","Room 508, 510, 511 – 5th floor – Taiyo Building No.97 Bach Dang, Ha Ly Ward, Hong Bang District",Full-time,"Job description • Design real time multi-tasking measuring and regulating systems for the maritime sector. The work includes: • Developing, documenting and testing of system software • Creation of graphic screen layout and handlings for the human machine interfaces • Embedded development for our hardware I/O modules • Research & design network protocols  How do you handle that? • You consult with colleagues from project engineering department to develop from definition phase until delivery of software • You Work independently on software module programming and testing • You act as an internal source of information for all software technical issues about the software modules assigned to you • You follow developments and trends in software and automation in shipbuilding   You follow developments and trends in software and automation in *** Team As a Software Engineer you work within the Innovation team. You also frequently discuss with colleagues from Project Engineering department. You report to the Manager Innovation.",$1000 - $3000,"SKILLC#, C++",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fab%2F11202055.png&w=256&q=75,https://www.vietnamworks.com/c-plus-plus-software-engineer-salary-up-to-3000-1758221-jd?source=searchResults&searchType=2&placement=1758421&sortBy=date
171,Chuyên Viên Phát Triển Tích Hợp,Công Ty Cổ Phần Chứng Khoán MB,"Tầng 8, số 21 Cát Linh, Hà Nội",Full-time,"Job description • Phân tích, nghiên cứu, đánh giá, thiết kế, tư vấn và chi tiết hóa giải pháp công nghệ với các khối nghiệp vụ, kinh doanh về dịch vụ Tài chính và Chứng khoán. • Tham gia thực hiện, nghiên cứu, đánh giá các giải pháp công nghệ, đặc biệt các sản phẩm xây dựng trên nền tảng Server (Linux, Unix ...) • Xây dựng API để tích hợp ứng dụngJob requirements • Thành thạo Java và có kinh nghiệm sử dụng Spring Boot. • Có kinh nghiệm với Golang là một lợi thế. • Có tư duy lập trình Microservice. • Có kinh nghiệm sử dụng & cài đặt ứng dụng trên các hệ điều hành Linux • Có kinh nghiệm sử dụng Oracle/Postgresql. YÊU CẦU KỸ NĂNG: • Kỹ năng giao tiếp và truyền thông. • Sáng tạo và liên tục cải tiến • Tinh thần phục vụ khách hàng • Tinh thần trách nhiệm • Kỹ năng làm việc nhóm • Kỹ năng quản lý thời gian • Kỹ năng khái quát, tư duy logic, phân tích và giải quyết vấn đề  Quyền lợi: • Thời gian làm việc 5 ngày/tuần (từ thứ Hai đến thứ Sáu). • Cơ hội thăng tiến, phát triển nghề nghiệp công bằng. • Thu nhập hấp dẫn, cạnh tranh. • Được hưởng chế độ BHXH, BHYT, BHTN, Bảo hiểm sức khỏe theo quy định của Công ty. • Được tham gia các chương trình đào tạo, huấn luyện của Công ty. • Môi trường làm việc chuyên nghiệp, thân thiện, năng động. • Mức lương: theo thỏa thuận  Hồ sơ yêu cầu: • Bản Thông tin ứng viên theo mẫu của MBS. • Các mẫu thông tin ứng viên/CV khác không theo mẫu MBS là hồ sơ không hợp lệ. Thời hạn nhận hồ sơ: Phỏng vấn cuốn chiếu ngay khi nhận được hồ sơ đến khi tuyển được ứng viên phù hợp",Negotiable,"SKILLLinux, Unix, Oracle, Golang, Java",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F6c%2F11152956.png&w=256&q=75,https://www.vietnamworks.com/chuyen-vien-phat-trien-tich-hop--1741615-jd?source=searchResults&searchType=2&placement=1741815&sortBy=date
172,Chuyên Viên Data Crawler/ Web Scraping - Khối Dữ Liệu,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"Hà Nội, Vietnam",Full-time,"Job description Chúng tôi đang tìm kiếm các vị trí Data Crawler/ Web Scraping có kỹ năng và kinh nghiệm trong việc thu thập dữ liệu từ các nguồn trực tuyến thông qua việc phát triển các công cụ và kỹ thuật crawling hiệu quả. Ứng viên thành công sẽ phải thiết kế, xây dựng và duy trì các hệ thống crawling dữ liệu để thu thập thông tin chính xác, cần thiết cho các phân tích dữ liệu và ra quyết định của ngân hàng.  1. Thiết kế và triển khai các hệ thống data crawling, kịch bản web scraping để thu thập dữ liệu từ các trang web, API và các nguồn trực tuyến khác.  2. Phối hợp với đội ngũ phân tích để xác định nhu cầu dữ liệu và tối ưu hóa quy trình thu thập.  3. Làm sạch, xử lý và chuẩn hóa dữ liệu thu được để đảm bảo tính khả dụng và chính xác.  4. Phát triển và duy trì tài liệu kỹ thuật cho các hệ thống và công cụ crawling.  5. Tuân thủ chính sách bảo mật và quy định pháp lý liên quan đến thu thập và xử lý dữ liệu.  6. Cập nhật liên tục về các công nghệ mới và kỹ thuật tiên tiến trong lĩnh vực data crawling.  LỢI ÍCH:  - Môi trường làm việc chuyên nghiệp và thách thức trong ngành ngân hàng.  - Cơ hội phát triển nghề nghiệp và học hỏi kỹ năng mới trong lĩnh vực dữ liệu lớn và phân tích dữ liệu.  - Mức lương hấp dẫn, chế độ phúc lợi đầy đủ và cơ hội thăng tiến cao",Negotiable,"SKILLWeb Scraping, Data Mining, Python, JavaScript, Java",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F9e%2F11140124.png&w=256&q=75,https://www.vietnamworks.com/chuyen-vien-data-crawler-web-scraping-khoi-du-lieu--1758404-jd?source=searchResults&searchType=2&placement=1758604&sortBy=date
173,Golang Developer,Công Ty TNHH Phát Triển Văn Hóa Công Nghệ Internet Atg,"Tầng 6, Victory Tower, Số 12 Đường Tân Trào, Phường Tân Phú, Quận 7, TP.HCM",Full-time,"Job description 1. Chịu trách nhiệm thực hiện và hiện thực hóa hoạt động kinh doanh đổi mới của công ty 2. Đảm bảo tính hợp lý về cấu trúc và khả năng mở rộng của hệ thống kinh doanh, đồng thời đảm bảo sự phát triển và tối ưu hóa liên tục của hệ thống. 3. Giao tiếp chặt chẽ với Nhóm kinh doanh để kiểm soát việc thực hiện thiết kế nhu cầu, đạt được mục tiêu kinh doanh tốt hơn và nhanh hơn, đồng thời thúc đẩy phát triển kinh doanh 4. Có thể độc lập hoàn thành việc phân tích yêu cầu của dự án, phân chia nhiệm vụ và cuối cùng phân phối mã trực tuyến.Job requirements Yêu cầu 1. Tốt nghiệp cao đẳng trở lên, chuyên ngành liên quan đến CNTT. 2. 1-3 năm kinh nghiệm phát triển server back-end, nền tảng lập trình vững chắc 3. Thành thạo các công cụ cơ sở dữ liệu như sql, redis, memcache, v.v. 4. Khả năng học tập tốt, kỹ năng giao tiếp và hiểu biết tốt, thói quen viết mã tốt và khả năng thiết kế hệ thống nhất định 5. Thành thạo với docker, k8s  Điều kiện khác Chỉ tiêu tuyển dụng: 1 người Độ tuổi và giới tính: dưới 30 tuổi, không giới hạn giới tính Thời gian thử việc: 1-2 tháng Mức lương: 20 triệu-35 triệu/tháng (thỏa thuận tùy theo năng lực) Giờ làm việc: Thứ Hai đến Thứ Sáu 9:00-18:00 (nghỉ trưa 1,5 tiếng), Thứ bảy làm việc cách tuần Phúc lợi: Hỗ trợ tiền ăn trưa và tiền gửi xe 660.000vnd, thưởng chuyên cần 500.000vnd BHXH theo quy định/nghỉ lễ theo qui định/quà sinh nhật/trái cây hàng tuần/đồ ăn nhẹ hàng ngày/teambuilding/phép năm theo quy định/phụ cấp/lương tháng 13.",$800 - $1200,"SKILLPython, MySQL, Golang, Back-end Programming, AWS Docker",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fcc%2F11263674.png&w=256&q=75,https://www.vietnamworks.com/golang-developer--1758995-jd?source=searchResults&searchType=2&placement=1759195&sortBy=date
174,Kiểm Chứng Hệ Thống / Kiểm Chứng Hình Ảnh (Tester (Kĩ Sư Kiểm Thử) Tính Năng Trình Điều Khiển Phần Mềm),Công Ty TNHH Yura Corporation Bắc Ninh - Chi Nhánh Hà Nội,"Tầng 10, tòa nhà Richy, tổ 44, Phường Yên Hòa, Quận Cầu Giấy, TP Hà Nội",Full-time,"Job description * Kiểm thử tính năng tự động hóa trình điều khiển ô tô (HILS) * Kiểm thử tính năng hướng dẫn trình điều khiển ô tô * Phát triển và kiểm chứng test case thông qua phân tích thông số (HILS) * Kiểm thử hệ thống: Black Box Test (End to End)  Chi tiết: * Kiểm thử hệ thống - Kiểm thử hộp đen (End to End) * Viết testcase thông qua phân tích thông số Phát triển và kiểm thử (HILS)Job requirements *** Chế độ: - Lương thỏa thuận - Thưởng 190% lương cơ bản/ năm - Tham gia BHXH đầy đủ - Nghỉ 4 thứ 7 và 4 chủ nhật/1tháng. - Ngoài các ngày nghỉ lễ theo quy định của luật, công ty cho nghỉ hưởng lương các ngày sau → Nghỉ hè 2 ngày; Nghỉ lễ phật đản 1 ngày; Nghỉ tết trung thu 1 ngày; Nghỉ lễ noel 1 ngày - Có cơ hội làm việc lâu dài, những người xuất sắc sẽ được gửi sang công ty mẹ bên Hàn Quốc để nhận đào tạo   *** Yêu cầu: - Chuyên ngành: * Điện tử * Máy tính  Chấp nhận ứng viên mới ra trường  Điều kiện (Học vấn, kinh nghiệm, chứng chỉ v.v): * Sử dụng thành thạo ngôn ngữ C * Sử dụng thành thạo ngôn ngữ CAPL (CANoe) * [Ưu tiên] Simuilk  Ngoại ngữ: * Tiếng Anh (bắt buộc) * Nếu có Tiếng Hàn là một lợi thế",Negotiable,"SKILLTiếng Hàn, C/C++, Simuilk, CAPL",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fbd%2F11250735.png&w=256&q=75,https://www.vietnamworks.com/kiem-chung-he-thong-kiem-chung-hinh-anh-tester-ki-su-kiem-thu-tinh-nang-trinh-dieu-khien-phan-mem-1741360-jd?source=searchResults&searchType=2&placement=1741560&sortBy=date
