Title,Company_name,Location,Contract_type,Requirement,Salary,Technical_skills,Link_image,URL
"Product Research and Development Engineer (Knowledge of Embedded Programming for St, Giga Device, Esp Microcontrollers, C, C++ Programming Languages)",Công Ty TNHH MTV Thương Mại Sản Xuất Lạc Long,"Lot Q4 - Q5A, Road No. 8, Long Hau Industrial Park - Can Giuoc - Long An Ho Chi Minh City, Vietnam",Full-time,"Job description - Receive ideas and requests from management and BGD - Make plans to research and develop features for the product - Propose improvements and changes to help perfect the product - Design circuit boards, program, Write documents for assigned products - Complete assigned management work.Job requirements - Male/Female engineer graduated from university or college related to electronics, electrical-electronics, automation, electrical fields telecommunications electronics - Have knowledge of reading datasheets, selecting components, designing circuits - Know how to use circuit design software: Altium - Have knowledge of embedded programming for microcontroller lines ST, Giga Device, ESP, Programming languages ​​C, C++... - Having skills in measuring, analyzing circuits, analyzing systems to find errors is an advantage - Having skills in working independently and in groups - Having working experience 3 years years in a similar field Benefits: - Salary negotiable according to ability and experience - Bonus on holidays, Tet, 13th month salary, etc. - Salary increase adjustment once per year - Participate in social insurance, health insurance, and unemployment insurance according to regulations - 12 days off per year - Working hours from 7:30 a.m. to 4:30 p.m. from Monday to Saturday. Only on Saturdays you can come home 15 minutes early - There is a bus to pick up employees from Ho Chi Minh City to Long An factory - Road No. 8 Long Hau Industrial Park, Long Hau Ward, Can Giuoc District, Long An Province",$1000 - $2000,"SKILLElectrical Circuit Design, C++, Altium Designer, Embedded Programming, Product Research",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fb0%2F11129770.png&w=256&q=75,https://www.vietnamworks.com/ky-su-nghien-cuu-phat-trien-san-pham-co-kien-thuc-ve-lap-trinh-nhung-cho-dong-vi-dieu-khien-st-giga-device-esp-lap-trinh-ngon-ngu-c-c-plus-plus--1759653-jd?source=searchResults&searchType=2&placement=1759803&sortBy=date
Executive Assistant to CEO,Công Ty Cổ Phần Giấy CP,"Lot No. C8, C9, C10-1, N5B Street, Le Minh Xuan 3 Industrial Park, Le Minh Xuan Commune, Binh Chanh",Full-time,"Job description 1/ Company: - Involved in developing software/system, KPIs and performance evaluation to all departments, especially HR, Accounting, Sales and Import-and-export department. - Analyze and synthesize all departments' reports to present to BOD. - Involve in problem-solving process to prevent the risk or to enhance the whole operational efficiency. - Communicate directly and on behalf of CEO internally and externally. - Support BOD to manage new or special project and new investment (if any) - Perform other jobs as assigned by CEO. 2/ Import and Export: - Find new domestic and foreign suppliers for some special projects. - Together with CEO and Import and Export's Management team to manage the entire import and export activities. - Review and analyze the entire cost and expenses regularly to ensure the accuracy and efficiency. 3/ Sales:",$1000 - $1500,"SKILLFinance, Sales Development, HRM, Import-Export, Company Management",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F26%2F11125261.png&w=256&q=75,https://www.vietnamworks.com/executive-assistant-to-ceo--1767671-jd?source=searchResults&searchType=2&placement=1767821&sortBy=date
Chatbot Training Specialist (Work Remotely),Blacksire,Work From Home,Full-time,"Job description Job Descriptions: • Chatbot Localisation: Replicating contents from various markets and tailoring it to fit local languages ​​and preferences. • Monitoring: Conducting daily health checks to ensure its smooth and optimal functioning. • Chatbot Training: Training the chatbot to understand natural language, intent recognition, and entity extraction to improve the chatbot's accuracy, using machine learning and NLP. • Content Curation: Updating the chatbot's knowledge base with current and accurate information. • Quality Assurance: Regularly evaluating and refining the chatbot's responses to maintain accuracy and efficiency. • Reporting: Preparing chatbot reports, analyze data and identify areas for improvement • Committed learner: Stay up to date with latest AI and the chatbot tech and trends, and apply them to our chatbots.Job requirements Job Requirements: • Minimum 2 years of working experience in e-commerce/BPO customer service, quality assurance or customer operations. • Experience in chatbot training is a huge plus. • Passionate about learning chatbots and AI tech. • Detail-oriented with a focus on accuracy and consistency in training data and content. • Strong analytical and problem-solving skills. • Exceptional written and verbal communication skills to curate contents and work with cross-functional teams. • Adaptability and willingness to learn and implement new technologies and methodologies. • Proficient in English and Vietnamese.",$800 - $1000,"SKILLChatbot Development, BPO, AI Technology, Machine Learning, Artificial Intelligence",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Ffd%2F11190643.png&w=256&q=75,https://www.vietnamworks.com/chatbot-training-specialist-work-remotely-1762529-jd?source=searchResults&searchType=2&placement=1762679&sortBy=date
02 Java Developer (Urgent),Công Ty TNHH BIP Systems Việt Nam,"Room No.403, 4th Floor, DMC Tower, 535 Kim Ma Str., Ba Dinh Dist., Hanoi",Full-time,"Job description We are looking for: - Candidates who want to work and cultivate expertise in international business environment. - Candidates who will be able to become core members of BIP Systems Vietnam Co., Ltd and will contribute to our long term business development. JOB BENEFITS: • Salary: negotiation • Salary adjustment twice a year • Opportunity to go abroad (on-site trip to Japan as job required) • Benefits related to social insurance (social insurance, health insurance) in accordance with Law • Annual health care & extra insurance during working hours • Summer vacation • Other benefits according to the Company's policy.Job requirements 1. Business content: - Understand the basic design document. - Create a detailed design document. - Perform program development. - Create unit test code. - Create and execute unit test cases. - Eligibility 2. Language skill: Good verbal and written communication in English (can read and understand manual in English). Japanese is preferred. 3. Technical Skill - Candidates who have at least 02 years of working experience with Java - Candidates who have experience with Databases and SQL. Having experience with Data Conversion is a priority. - Candidates who are ready to learn new technology are preferred. 4. Human skill - High motivation and strong team-working spirit - Ability to work under pressure",Negotiable,"SKILLPython, Java, C++, C Language, English",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F99%2F348019.jpg&w=256&q=75,https://www.vietnamworks.com/02-java-developer-urgent--1762583-jd?source=searchResults&searchType=2&placement=1762733&sortBy=date
Product Policy Specialist - CVP,Công Ty Tài Chính Trách Nhiệm Hữu Hạn MB Shinsei,"Hanoi, Vietnam",Full-time,"Job description • Collect data, information and develop policies, procedures and documents guiding the implementation of product development and management activities. • Develop and draft credit programs for Customers (Individuals/businesses) and program implementation instructions. • Support the design of product deployment flows on the system • Build and/or advise on building effective evaluation models related to the product and/or business model • Provide guidance and answer questions to business program and product services. Handle system problems that arise during the implementation process.Job requirements • Graduated from University or higher with majors related to Finance - Banking, Finance - Enterprise, E-commerce, Business Economics, Business Administration,... • Have 5 years or more experience in product policy development/product development/product process positions at credit institutions • Candidates with experience Experience or understanding of deploying credit products on corebanking systems and digital platforms is a great advantage.",Negotiable,"SKILLEnglish, Banking Credit, Core Banking, Policy Development, Product Development",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fb4%2F11205283.png&w=256&q=75,https://www.vietnamworks.com/chuyen-gia-chinh-sach-san-pham-cvp--1767577-jd?source=searchResults&searchType=2&placement=1767777&sortBy=date
IT Infrastructure Architect Asst. Manager,Japfa Comfeed Vietnam Ltd,"Huong Canh, Binh Xuyen, Vinh Phuc, Vietnam",Full-time,"Job description IT Asst Manager is responsible for various tasks related to IT infrastructure and assets. Job details: • Research and find solutions to build a technology strategy for the company • Together with the team, we will establish and implement appropriate policies and procedures as well as create a working environment safe and secure. Duties: • System administration of Fortinet firewall, internal server, vmware virtualization, office 365 mail, web, internet, site to site VPN, hardware, software, internal switchboard, copyright, etc. • Establishing a technological infrastructure architecture system for businesses, including. • Design and install, maintain internal server system, internal network, • Manage server system, manage internal network system, ensure the system operates stably and smoothly. • Organize repairs and troubleshoot computer problems and network system problems, preventing the company's operations from being interrupted by problems from the information technology system. • Make recommendations for application software suitable for the business activities of the enterprise, be responsible for guiding and managing the use of such software at work, and ensuring the use of the software This brings efficiency to business operations.",Negotiable,"SKILLServer Management, Network System Setup, Information Technology, IT Administration, Virtualization VMware",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F46%2F1211499.jpg&w=256&q=75,https://www.vietnamworks.com/it-infrastructure-architect-asst-manager-1767466-jd?source=searchResults&searchType=2&placement=1767666&sortBy=date
"Senior Business Intelligence Executive, ZaloPay (User Growth)",VNG Corporation,"VNG, Street 13, Tan Thuan Dong, District 7, Ho Chi Minh City, Vietnam",Full-time,"Job description As a Senior Business Intelligence Executive, you will play a pivotal role in driving strategic initiatives to achieve User Growth & Retention KPI within the assigned budget. Your responsibilities will include: - Strategic Planning (30%): Develop and implement strategies to achieve KPIs related to user metrics within allocated budgets. - Data Analysis and Insights (30%): Analyze data to derive actionable insights to enhance user retention, optimize costs, and improve user conversion rates. - CRM R&D (20%): Act as the R&D for the in-house CRM tool, known as NBA (Next Best Action), and collaborate with cross-functional teams to generate a user feature-set of behaviors, experiment, analyze, and optimize user journeys for effective retargeting. - Collaboration with Data Science (20%): Collaborate with the Data Science team to create innovative data solutions that support excellent operations and optimize the effectiveness of marketing campaigns.Job requirements To be successful in this role, the ideal candidate should possess the following qualifications : - Technical Proficiency: Mastery of Excel, PowerPoint, SQL, and Python for effective data analysis and reporting. - 4-5 years experience in one or more of the following areas: Management Consulting, Consumer Tech, Banking & Financial Industry with a track record of analyzing data related to user behavior. - Strong business acumen and a history of involvement in projects related to product enhancement and cost optimization. - Experience in conducting A/B tests and active participation in projects related to Data Science - Project management experience is a plus, showcasing your ability to handle multifaceted responsibilities and deliver successful outcomes.",Negotiable,"SKILLData Analysis, Strategic Planning, CRM, SQL, Management Consulting",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F70%2F11210127.png&w=256&q=75,https://www.vietnamworks.com/senior-business-intelligence-executive-zalopay-user-growth-1759521-jd?source=searchResults&searchType=2&placement=1759721&sortBy=date
Database Management And Analysis Specialist,Servier (Vietnam) Pharmaceutical Company,"81-85 Ham Nghi, Nguyen Thai Binh, District 1, Ho Chi Minh City, Vietnam",Full-time,"Job description A. Job scope 1. Database management: - Maintain and manage customers, doctors, territory coverage, product, price database on relevant systems. - Build appropriate data model. - Share best, develop procedures to enhance data quality practices of system. 2. Project: - Projects relating to data mapping, data clean up, data structure. - Projects to strengthen data governance, develop new tools/solutions. 3.Analysis: - Business analysis, reports and dashboards. 4. Retail channel programs: Operation and management. 5. Others: Ad hoc or other arising tasks as per business requirements B. Responsibilities (include but not limited to) 1. Database management - Provide guidance and training to users regarding data capture and update",Negotiable,"SKILLTech Savvy, Analytical Skills, CRM, Power BI, SQL",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F4b%2F11142928.png&w=256&q=75,https://www.vietnamworks.com/database-management-and-analysis-specialist-1767445-jd?source=searchResults&searchType=2&placement=1767645&sortBy=date
Less Experienced Programmer,VNC - Công Ty Cổ Phần Tổ Chức Hội Nghị Việt Nam,"15th Floor, C1 Thanh Cong Building, Thanh Cong Street, Thanh Cong Ward, Hanoi",Full-time,"Job description - Support building new websites and systems to meet the needs of end users - Participate in developing the company's existing websites and systems, coordinate with Team Leader to provide solutions for software development software and systems that meet end user requirements. - Fix bugs and improve features, optimize product performance. - Coordinate and guide other departments to use and apply the company's systems and products. Work full-time at the Hanoi office. Job requirements - Graduated from College with major in IT. - Have good knowledge of Database and web development. - Ability to communicate and exchange with individuals not in the same major. - Able to work in groups as well as work independently. Advantages: (not required) - Experience in HTML, CSS, JS, SQL, PHP is preferred - Communicative English - Proficient in using VScode, xampp and FileZilla",From $230,"SKILLMySQL, HTML, CSS, SQL, PHP",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F04%2F10519410.png&w=256&q=75,https://www.vietnamworks.com/lap-trinh-vien-it-kinh-nghiem-1765163-jd?source=searchResults&searchType=2&placement=1765363&sortBy=date
ERP Staff,Công Ty Cổ Phần Tập Đoàn Sunhouse,"Sunhouse Factory, km21 Thang Long Avenue, Ngoc Liep Commune, Quoc Oai District, Hanoi",Full-time,"Job description 1. Manage the catalog system for ERP software (KH, NCC, VTHH, purchase price, selling price, ...) 2. Develop management reports for the Group according to the design and instructions of the Chief BP 3. Build management software for the Group according to the design and instructions of the Head of BP 4. Implement ERP projects according to the Group's requirements. 5. Train, guide, and support users to use and exploit reports and software. 6. Handle and fix problems, ensuring the ERP system operates smoothly and effectively. 7. Coordinate with IT staff in changing, upgrading, and maintaining the ERP server system.Job requirements 1. Education level: University or higher 2. Expertise: management informatics, software, information technology 3. Experience: 1 year of experience in a similar position (accept training for new graduates) 4. Abilities: - Proficient in SQL language and SQL Server database management system. - Understanding of ERP operations (Enterprise Administration). - Have knowledge of accounting, CRM - Have basic knowledge of server systems and networks. - Ability to work under high pressure. 5. Personal qualities: - Straightforward, honest, meticulous, careful - High sense of responsibility. 6. Other requirements: Health: Good Appearance: Not required; Age from 22 to 30",Negotiable,"SKILLSQL, SAP, IT Hardware, ERP Systems, ERP",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F72%2F10859656.png&w=256&q=75,https://www.vietnamworks.com/nhan-vien-erp--1753745-jd?source=searchResults&searchType=2&placement=1753945&sortBy=date
"DevOps Engineer (Network, Cloud)",Skylab Innogram Vietnam LLC,"Nguyen Trai Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City, Vietnam",Full-time,"Job description SkyLab is a cloud service company revolutionizing the way data, content, applications and workloads are managed across the hybrid cloud environment. SkyLab’s innovative Cloud Service Platform, FusionFlow™, empowers our clients and partners to launch and scale secure applications and services globally by introducing a single unified application runtime environment. Responsibilities: • Participates in architecture and software development activities • Use open-source technologies and tools to accomplish specific tasks encountered within the project • Design and deploy company's products on public, private and hybrid cloud environments • Troubleshoot production issues to address technical commitments and boost sustainability • Enhance system performance and features on a regular basis for enhanced customer experience • Collaborates with team members to brainstorm about the best way to tackle complex technological infrastructure, security, or development problems • Produce tools to assist the product development teams with applying changes to the production/staging/integration environmentsJob requirements",Negotiable,"SKILLDevOps, Network, Cloud, Service Operations, Shell Script",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F6a%2F11072233.png&w=256&q=75,https://www.vietnamworks.com/devops-engineer-network-cloud-1-1-1-1-1-1-1-1-2--1767407-jd?source=searchResults&searchType=2&placement=1767607&sortBy=date
"Project Engineer (Information Technology/ Electrical, Electronics, Telecommunications....) / Attractive Salary",Công Ty TNHH Thiết Bị Khoa Học Và Công Nghệ Việt Nhật (Vijatech),"Room 1225, CT5 building, Song Da My Dinh Urban Area, My Dinh 1 Ward, Nam Tu Liem District, Hanoi City",Full-time,"Job description - Participate in system integration projects, providing technology transfer of overall technical solutions for telecommunications network infrastructure, electrical networks, computer networks and cyber security for key state agencies, service providers and national backbone networks; - Participate in specific projects related to fields such as: Monitoring telecommunications and internet data; CCTV camera monitoring, face recognition, license plate recognition, video image analysis; information technology systems, specific databases (Data Lake, Data Fusion, Big Data, AI, ...), telecommunications wave measurement and analysis systems, ... - Research, development and integration network systems and devices, including switches, routers, multiplexing devices, channel division devices, packet filters and analyzers, line capacity monitoring devices, load balancers, firewalls, and network devices. SDN, SD-WAN network devices; - Research, develop and integrate software systems used in computer networks, telecommunications networks, and electrical networks including SDN network equipment management software, VOIP software, and transmission flow measurement software. , and other software; - Design, check, and evaluate the design of electrical networks, telecommunications networks, and computer networks for business customers and service providers; - Deploy, install, and configure equipment for customers within the framework of participating projects; - Work directly with experts from foreign partner firms to implement the project; - Participate in technology transfer from the company's partner firms abroad; - Prepare reports, prepare documents according to City/Project Management requirements and evaluate project implementation results; - Participate in other tasks assigned by City/Project Management.",Negotiable,"SKILLInformation Technology, Project Management, Database, Configuration Building, Network Equipment Deployment",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fa6%2F3225278.gif&w=256&q=75,https://www.vietnamworks.com/ky-su-du-an-cong-nghe-thong-tin-dien-dien-tu-vien-thong-luong-thuong-hap-dan-233191-jd?source=searchResults&searchType=2&placement=233391&sortBy=date
QA Tester (Korean Speaking),Snow Việt Nam,"15 Le Thanh Ton Street, Ben Nghe, District 1, Ho Chi Minh City, Vietnam",Full-time,"Job description Position Editing Service QA (Vietnamese who can communicate in the Korean language) 편집서비스QA (한국어 능통한 베트남인) Job Introduction EPIK is for editing photos, and VITA is for editing videos respectively.They are the services that anyone can easily edit photos and videos. The Job is to be in charge of quality control of mobile application including EPIK and VITA 조직: EPIK은 사진, VITA는 영상을 누구나 쉽게 편집할 수 있는 서비스입니다. EPIK, VITA 관리 업무를 담당합니다. Responsibilities: - Detecting and reporting errors through test activities. - Draw Test Scenario - Record & management of Test cases - Review and feedback on proposals and objective plans - Monitoring&CS response after service launch 담당업무: - 테스트 활동을 통한 오류 검출 및 보고 - Test Scenario 도출 - TestCase 작성 및 관리 - 기획 명세서 리뷰 및 피드백 - 서비스 출시 후 모니터링 및 CS 대응",Negotiable,"SKILLQA, Test Cases, Software Testing, Korean Language, Quality Control",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F93%2F11228613.png&w=256&q=75,https://www.vietnamworks.com/qa-tester-korean-speaking--1758743-jd?source=searchResults&searchType=2&placement=1758943&sortBy=date
Senior Digital Transformation,Công Ty TNHH Olam Việt Nam,"11th Floor, Pearl Plaza, 561A Dien Bien Phu Street, Ward 25, Binh Thanh District, Ho Chi Minh City",Full-time,"Job description As a Senior Digital Transformation, scope includes understanding the business needs, analyzing processes, and identifying opportunities for improvement. When working with Power Apps, your role involves translating these requirements into technical solutions that meet the business objective. Requirement gathering is a critical aspect of your role, as it involves working closely with stakeholders to gather, document, and prioritize business requirements. This information is then used to create a Business Development Requirement that outlines the scope of the project, the objectives, and the expected deliverables. The role as well involves designing the app with the end-users in mind, making it intuitive and user-friendly.User adoption is key to the success of any project. To encourage user adoption, it is important to involve users early in the process, gather feedback, and provide training and support to ensure that they are comfortable using the app.By following a structured approach to requirement gathering, focusing on the project goals, prioritizing user adoption, and developing solutions based on the Business Requirement Development, you can ensure the success of your Power App development project as a Business Development Analysis executive. Key Responsibilities: 1. Work closely with users and identify the pain area and map the business requirements. 2.Identify and research potential digital solutions. 3.Developing auto-workflow/web-app/report using Power Apps, Power Automate, and SharePoint 4.Coordinate with business teams to develop mutually beneficial proposals. 5. Drive the end-to-end Business Application process 6. Preparing BRD (if assigned) 7. Conducting training and preparing UAT and gathering, validating, and documenting business requirements; analyzing data 8. Maintaining and enhancing system performance 9. Supporting users when issues arise",Negotiable,"SKILLIT Operations, Power Apps, Software Engineering, Computer Science, Power Automate",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fc2%2F11129332.png&w=256&q=75,https://www.vietnamworks.com/senior-digital-transformation-1759573-jd?source=searchResults&searchType=2&placement=1759773&sortBy=date
Product & Project Manager (for OTT App Development),VSTV - Truyền Hình Vệ Tinh K+,"Handi Resco Tower, 521 Kim Ma Street, Ngoc Khanh, Ba Dinh, Hanoi, Vietnam",Full-time,"Job description • Conducts and coordinates transversal projects with our internal business units, the teams of our shareholders, external suppliers and IT department • Approaches the suppliers in order to find the most adapted, innovated solution, in line with the budget. • In collaboration with marketing department, participates to the design of the products (UI, UX, Design decoders). • Supports business units in needs formalization and specification for all projects involving IT department • Drives the business activity and prepares the mapping business process • In collaboration with IT business units, prepares the procedure and the exploitationJob requirements • University degree, major in Computer Science, Human-Computer Interaction, communication, design or a related field • At least 3 years experience in similar position • Ability to understand and manage projects • Fluent English • Excellent communication skills: listening, understanding and sharing • Negotiating capacity of conducting men • Leadership skill • Innovative • High sense of organization • Sport lover",Negotiable,"SKILLApplication Development, Streaming Media, Product Management, UI/UX, Design",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F36%2F11125592.png&w=256&q=75,https://www.vietnamworks.com/product-project-manager-for-ott-app-development--1759181-jd?source=searchResults&searchType=2&placement=1759381&sortBy=date
"Product Owner (Wms, Logistics)",Công Ty Cổ Phần Công Nghệ Sen Đỏ,"Oriental Tower, 324 Tay Son Street, Nga Tu So, Dong Da, Hanoi, Vietnam",Full-time,"Job description Define product vision, strategy, and roadmap with in-depth understanding of markets, competition, and user needs Understand the product vision, strategy, and roadmap to the development team Plan and prioritize the product feature backlog and develop the product Identify and target key user segments for existing and new products ▪ Validate ideas and design decisions with qualitative and quantitative feedback by conducting and analyzing user research ▪ Drive product development from small features to entirely new products and ensure successful product delivery ▪ Experience in ordering and receiving platforms. ▪ Be able to keep track on Inventory and to Deliver Logistic Solutions ▪ Work closely with stakeholders regarding the logistics aspect ▪ Define and analyze metrics that inform the success and direction of productsJob requirements ▪ At least 03 years of experience in a Product Owner position at WMS /Logistics industry ▪ Moving between two offices: Back-Office (Dong Da) & Warehouse Office (Long Bien)",$800 - $1300,"SKILLWarehouse Management, Warehouse Product, Logistics System, Project Management, Production Pipeline",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F08%2F11265025.png&w=256&q=75,https://www.vietnamworks.com/product-owner-wms-logistics-1758852-jd?source=searchResults&searchType=2&placement=1759052&sortBy=date
Business Analyst – Salesforce,Công Ty Cổ Phần Vinpearl,"Symphony Office, Chu Huy Man Street, Vinhomes Riverside Urban Area, Long Bien, Hanoi",Full-time,"Job description • Business analysis & implementation of Salesforce solutions (Salesforce CRM & Salesforce Marketing Cloud) • Research customer relationship management solutions (Salesforce CRM) and digital marketing automation (Salesforce Marketing Cloud) • Analyze requirements requirements and propose appropriate solutions according to the specifics of Business & Marketing for each unit in the Group • Prepare documents to analyze user requirements and analyze software requirements. • Deploy multi-channel customer experience flows on Salesforce for Sales & Marketing campaigns • Research and customize the Salesforce system to suit the specific business requirements of each unit. • Participate in UAT and report technical errors that arise during the implementation of Job requirements • Graduate from a regular university; • Having worked with Digital Marketing tools, Marketing Automation, and website analysis tools is an advantage. For example: Google Analytics 360, Facebook Ads, Google Adwords, Email Marketing, SMS, OTT, Affiliate marketing...; • Understanding of marketing operations, sales management, and sales management processes is an advantage • Having worked with the Salesforce system is an advantage; • Ability to work with technology systems. • Ability to communicate effectively with internal teams and external partners to gather and communicate business/functional requirements. • Be independent and take personal responsibility in assigned work. • Have the spirit to learn and progress in work. • Good English communication skills (listening, speaking, reading, writing). Compensation • Attractive income level according to ability; • Dynamic environment, many challenges and development opportunities; • 13th month salary and annual performance bonus according to Group policy; • Health insurance from PVI/Social Insurance according to law; • Lunch allowance; • Special incentives when using products and services at Vinmec, Vinhomes, Vinschool, VinFast... • Participate in training programs from Salesforce and other partners to improve knowledge and capacity.",Negotiable,"SKILLDigital Marketing, Google Analytics, Facebook Ads, Business Analysis, Salesforce Development",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fae%2F10756230.png&w=256&q=75,https://www.vietnamworks.com/chuyen-vien-phan-tich-nghiep-vu-business-analyst-salesforce-1759524-jd?source=searchResults&searchType=2&placement=1759724&sortBy=date
Pricing Leader - Data Analyst and Business Intelligence - 9-Months contract,Archer Daniels Midland (ADM),"65 Le Loi Street, Ben Nghe, District 1, Ho Chi Minh City, Vietnam",Full-time,"Job description pMISSION: This position holder is responsible for : - Synthesize and analyze data as requested from the leader related to costs, prices as well as customers - Synthesize data and connect data based on monthly/weekly reports AREAS OF RESPONSIBILITY: - Develop pricing strategies and models based on business and financial objectives. - Analyze market trends and competitive pricing to recommend competitive pricing strategies. - Collaborate with sales and marketing teams to define pricing structures for products and services. - Utilize business intelligence tools to extract insights from data to support pricing decisions. - Create and maintain reports on pricing analytics and revenue impacts. - Conduct scenario analysis to forecast future pricing changes and their effects on the business. - Ensure compliance with pricing policies and regulations./pJob requirements p- Description: The ideal candidate will have a keen eye for detail, a passion for data-driven decision-making, and the ability to translate complex data into actionable business insights. If you are a strategic thinker with a strong background in pricing and business intelligence, we encourage you to apply. - Education: a bachelor's degree in business, economics, finance, statistics, or a related field. - Working Experience: Proven experience in pricing analysis, business intelligence, or a similar role. - Priority is given to those who have certificates related to power BA, BI, Tableau, KNIME,... or data analyst certificate - Business Understanding: Strong analytical skills with the ability to interpret complex data - Others (e.g., language skills, technical skills) Ability to work cross-functionally and influence decision-making processes. - Ability to organize and work independently - Excellent attention to detail, with the ability to maintain a high level of accuracy of data/p",Negotiable,"SKILLData Analysis, Microsoft Power BI, Tableau BI, Pricing Strategy",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F45%2F11032376.png&w=256&q=75,https://www.vietnamworks.com/pricing-leader-data-analyst-and-business-intelligence-9-months-contract-1763141-jd?source=searchResults&searchType=2&placement=1763341&sortBy=date
HO - ETL Specialist,Ngân Hàng TMCP Á Châu (ACB),"442 Nguyen Thi Minh Khai, Ward 5, District 3, Ho Chi Minh City, Vietnam",Full-time,"Job description Designing, creating, executing the process of ETL (Extract, Transform, Load) to the Data Warehouse system, ensuring on-time & reliable data source providing, serving for management needs, business operations of the bank. MAIN RESPONSIBILITIES: - Receiving and understanding business requirements - Examine, analyze and evaluate source data - Do the mapping source data with Data Warehouse - Design, build, execute, and manage the data extraction process. - Design, build, execute periodically & Adhoc reports - Compare & checking data - Hand over source code, jobs to extract data to Operation Department - Join IT project and perform assigned tasks within the project scope - Perform other tasks assigned by the team leader - Hand over source code, jobs to extract data to Operation Department - Join IT project and perform assigned tasks within the project scope - Perform other tasks assigned by the team leader",Negotiable,"SKILLETL, Data Management, Oracle, SQL, Analytical Data",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F95%2F11125340.png&w=256&q=75,https://www.vietnamworks.com/ho-etl-specialist--1753765-jd?source=searchResults&searchType=2&placement=1753965&sortBy=date
AX Software Developer,La Vie Limited Liability Company,Ho Chi Minh,Full-time,"Job description • Business application support: - Daily support users for incidents in Technical & Production: Production management (Production order, maintenance order management), reporting, configuration advisory etc. • Full life cycle of software change request: - Collect change requirement from stakeholders - Design the function to fulfill the change request - Develop the function - Deploy and hyper care • People & Communication - Provide proper training for end-users, effectively operating the AX ERP system - Promote the culture of data driven organization - Cooperate with peers in the cross-function projectsJob requirements • Graduated in Information Technology or Computer science. • 2 years in Microsoft Dynamics AX development (both versions 2012 R3 or D365 are acceptable) is a must.",Negotiable,"SKILLAX System, Dynamics AX 2012, CRM Microsoft Dynamics, Dynamics 365",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F00%2F10914000.png&w=256&q=75,https://www.vietnamworks.com/ax-software-developer-1767370-jd?source=searchResults&searchType=2&placement=1767570&sortBy=date
Business Analyst Intern,Công Ty Cổ Phần HTC Viễn Thông Quốc Tế,"6th Floor - Lotus Building, No. 2, Duy Tan - Dich Vong Hau Ward - Cau Giay District - Hanoi",Full-time,"Job description o Survey, collect information and analyze business requirements for software development. o Support programming and testing teams during the software development process. o Develop specification documents and instructions for using the system. o Perform other direct management tasks.Job requirements o Students studying IT, Information Systems, or related majors. o Have a certain interest in the IT industry & BA work (having studied a BA course will be given priority). o Ability to collect, analyze and synthesize information from relevant departments, grasp problems quickly. o Hardworking, honest and progressive in work. - Right",Negotiable,"SKILLBusiness Analysis, Securities, Product Innovation, Testing, Project Development",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fca%2F11175647.png&w=256&q=75,https://www.vietnamworks.com/thuc-tap-sinh-business-analyst-1767022-jd?source=searchResults&searchType=2&placement=1767222&sortBy=date
