Title,Company,Requirement,Salary,technical_skills,location,worktime,img_link,url
Senior Technical Project Manager,Bosch Global Software Technologies (BGSV),"['Project Management Expertise: Strong project management skills with the ability to plan, execute, and monitor complex technical projects. Experience with Agile methodologies, resource allocation, and risk management', ""Technical Proficiency: In-depth technical knowledge of OutSystems or similar low-code platforms to effectively guide the team and provide solutions to technical challenges. Ability to understand the platform's architecture, integrations, and customization capabilities"", 'Leadership Skills: Proven leadership capabilities to motivate and inspire a global team, fostering collaboration and productivity across geographically dispersed team members', 'Problem-Solving Abilities: Excellent problem-solving skills to address technical challenges, recommend solutions, and remove blockers that hinder project progress', 'Communication Skills: Clear and effective communication skills are essential for interacting with stakeholders, team members, and higher management to provide updates, address issues, and manage expectations', 'Budget Management: Experience in managing project budgets, tracking expenses, and ensuring the project stays within financial constraints', 'Adaptability: Ability to adapt to changing project requirements, timelines, and organizational priorities while keeping the team focused and aligned with project goals', 'OutSystems Platform Knowledge: Prior experience or willingness to quickly learn and master the OutSystems Workflow Platform, including its features, functionalities, best practices, and limitations', 'Delivery Focus: Dedication to delivering projects on time and within scope, ensuring high-quality standards are met while balancing time and resource constraints', 'Team Building: Skilled in building a high-performing team culture, fostering collaboration, mentoring team members, and resolving conflicts to maintain a positive work environment', 'Required Knowledge', 'Bachelor’s or master’s degree in computer science, Engineering, or related field. PMP certification is a plus', 'Minimum of 10 years of experience working in technology projects, with a focus on OutSystem development']",Negotiable,"['OutSystems', 'PMP']","Tân Bình, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/Bosch-Global-Software-Technologies-(BGSV)-logo.jpg,https://www.itjobs.com.vn/en/job/81733/senior-technical-project-manager
Mid/Senior .NET Developer,Simpson Strong-Tie Vietnam,"['If you can do everything listed above, you’ve got what it takes. Perhaps some of the following would be helpful too', ""At least 3 years' experience as a Full Stack Developer"", 'Experience in .NET Core, MVC, Web API, Entity Framework (core) and SQL Server, and Security Guidelines', 'Experience knowledge of software and application design and architecture', 'Experience architecting, developing, and deploying modern architectural patterns/techniques (Microservices, DDD, TDD', 'Experience working with Azure (or AWS) with CI/CD pipelines and testing', 'Experience with multiple protocols in data processing and communications (https, MQTT, AMQP', 'Experience working in Service Mesh, Containers, Message broker, Event as Docker, and Azure DevOps, Azure Service Bus, and Service Fabric', 'Good supporting a production service in a DevOps-friendly environment', 'Be able to play as an proactive team member with high sense of commitment as well as quality and customer oriented mindset', 'Self-motivation, integrity, trustful, positive thinking and open-minded', 'Good problem-solving and analytical skills', 'Good verbal and written communication in English is required']",Negotiable,"['.NET', 'Core', 'MVC', 'Web', 'API', 'Entity', 'TDD', 'MS', 'SQL', 'AMQP', 'MS', 'Azure', 'MQTT', 'DDD', 'Azure', 'Service', 'Bus', 'AWS', 'Microservices', 'Azure', 'DevOps', 'HTTPS', 'CI/CD']","Tân Bình, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/Simpson-Strong-Tie-Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81734/mid-senior-.net-developer
.NET Team Leader,TOG recruitment,"['Job Qualifications', 'Over 3 years of experience in Lead Team or other positions related', 'At least 3 years of experience in Scrum Master role', 'Above 8 years of experience in C', 'Microsoft .NET, .NET Core, SQL Server', 'Microsoft Azure DevOps/ Github', 'Experience with ReactJS', 'Familiarity with CI/CD pipelines (Azure DevOps) is a plus', 'Good written and verbal communication skills in English', 'Good at', 'Project Management skills', 'Leadership skills', 'Problem-solving skills', 'Communication', 'Logical thinking', 'Team-working']",Up to 91000000VND,"['C#', '.NET', 'MS', 'Azure', 'Github', 'Redux', 'ReactJS', '.NET', 'Core', 'Azure', 'DevOps']","Quận 3, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/TOG-recruitment-logo.jpg,https://www.itjobs.com.vn/en/job/80716/net-team-leader
DevOps Engineer (MS Azure),TOG recruitment,"['Job requirements', 'The ambition and curiosity to keep learning and growing', 'You are proactive and self-organizing', 'You work well with others', 'Ambition to create a great company/team that everyone contributes to and can be proud of', 'At least 3-5 years of experience within the DevOps specialty', 'Ability to implement a build strategy (deploying, versions management, logging and monitoring', 'Deep knowledge of Azure DevOps, CI/CD, IaC and its tools', 'Strong experience and deep knowledge of Microsoft Azure, from common features to data security solutions', 'The ability to work with scenarios, cloud architectures, and concepts', 'Strong English skills']",Up to 70000000VND,"['DevOps', 'MS', 'Azure', 'Azure', 'DevOps', 'IaC', 'CI/CD']","Quận 3, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/TOG-recruitment-logo.jpg,https://www.itjobs.com.vn/en/job/81657/devops-engineer-ms-azure
Middle Back End Developer,CJ OliveNetworks,"['2~4 years of experience as a backend engineer working with NodeJS and Java/J2EE, Java Core, Spring Boot', 'Working proficiency in English and ability to communicate with foreign clients, especially Korean', 'Experience with databases such as MySQL, Oracle, PostgreSQL', 'Experience with AWS services: S3, EC2, RDS, Lambda, etc. is a plus', 'Experience in using CI/CD pipelines and tools', 'Maintain a good coding standard, familiar with Test Driven Development', ""Willingness to adapt flexibly to changes in clients' requirements and urgent requests is a plus""]",Negotiable,"['Java', 'J2EE', 'NodeJS', 'Core', 'Java', 'Oracle', 'PostgreSQL', 'MySQL', 'TDD', 'AWS', 'Lambda', 'Amazon', 'S3', 'Amazon', 'RDS', 'AWS', 'Spring', 'Boot', 'Amazon', 'EC2', 'CI/CD']","Quận 1, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/CJ-OliveNetworks-logo.jpg,https://www.itjobs.com.vn/en/job/81708/middle-back-end-developer
.NET Backend Developer,Thai Son Soft,None,Up to 1800,"['C#', 'ASP.NET', 'MVC', '.NET', 'Core', 'JavaScript', 'jQuery', 'HTML5', 'CSS3', 'PostgreSQL', 'MySQL', 'IIS', 'OOP', 'Web', 'Services', 'SignalR', 'MongoDB', 'HyperSQL', 'Memcached', 'NodeJS', 'MS', 'SQL', 'AngularJS', 'Elasticsearch', 'Redis', 'UI/UX']","Cầu Giấy, Hà Nội",Full Time,https://www.itjobs.com.vn/upload/Employer/Thai%20Son%20Soft-logo.jpg,https://www.itjobs.com.vn/en/job/81709/net-backend-developer
Quality Control Engineer,MODEC,"['Requirements', '2-5 year experience in application testing', 'Experience with project management tools (e.g Jira, Trello, AzureDevops', 'Strong knowledge of software QA methodologies, tools and processes', 'Experience in writing clear, concise and comprehensive test plans and test cases', 'Experience with BDD/Cucumber is a plus', 'Enjoy working in a startup environment', 'Intermediate english proficiency is mandatory, interview will be conducted in English']",Up to 2000,"['Jira', 'Trello', 'Azure', 'DevOps', 'Test', 'Plan', 'Test', 'Case', 'BDD', 'Cucumber']","Vũng Tàu, Bà Rịa-Vũng Tàu",Full Time,https://www.itjobs.com.vn/upload/Employer/MODEC-logo.jpg,https://www.itjobs.com.vn/en/job/81710/quality-control-engineer
Senior Backend Developer,MODEC,"['Requirement', '5 years of professional backend software development experience', 'Additional frontend (ex. React.js) experience will be greatly valued as well', 'Well-versed in working within the agile environment', 'Familiarity with microservices', 'Strong analytical and creative problem‐solving skills', 'Excellent written and oral communication skills in English', 'Capable of thinking out of the box and excited about trying new solutions, willing to challenge status quo', 'Experience in developing complex enterprise software applications that span multiple organizations and business units', 'Experience in Python/Django and MySQL/Postgre', 'Nice to have', 'Strong knowledge in DevOps and Cloud technology (Azure / AWS', 'Experience in mentoring team members and coordinating development tasks', 'Track record of delivering integrated solutions to address data and resource‐intensive business requirements', 'Start‐up experience', 'Familiarity with the Oil and Gas industry']",Negotiable,"['Python', 'Django', 'MySQL', 'PostgreSQL', 'ReactJS', 'Microservices']","Vũng Tàu, Bà Rịa-Vũng Tàu",Full Time,https://www.itjobs.com.vn/upload/Employer/MODEC-logo.jpg,https://www.itjobs.com.vn/en/job/81711/senior-backend-developer
DevOps Engineer,CubicStack Solutions,"['Minimum 2-years of working experience as DevOps engineer or System Engineer/System Administrator (Linux', 'Has at least 1 year experience with AWS architecture and services (VPC, EC2, ALB, ECS, S3, RDS, Lambda, Cloudwatch', 'Experience in using Terraform to deploy and manage infrastructure', 'Working knowledge with Docker and using Docker container clusters in production', 'Experience in building and operating CI/CD pipelines using Git on cloud services (Bitbucket, Gitlab', 'Knowledge of administration Database (MySQL, MongoDB', 'Familiar with Monitoring and Alerting tools: Grafana, Prometheus, AWS Cloud Watch', 'Working knowledge of scripting using Bash/Python', 'Understanding of networking and firewall concepts', 'Good problem solving and troubleshooting skills', 'Ability to work independently and on a team', 'Carefulness and Responsibility']",Negotiable,"['DevOps', 'AWS', 'Amazon', 'VPC', 'MySQL', 'Python', 'Git', 'MongoDB', 'AWS', 'Lambda', 'Docker', 'BitBucket', 'Grafana', 'Amazon', 'S3', 'Amazon', 'RDS', 'Amazon', 'EC2', 'Cloudwatch', 'Bash', 'Gitlab', 'Terraform', 'Prometheus', 'Amazon', 'ECS', 'ALB', 'CI/CD']","Quận 10, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/CubicStack-Solutions-logo.jpg,https://www.itjobs.com.vn/en/job/81712/devops-engineer
PHP Developer,CubicStack Solutions,"['Must Have', '2 years or more experience working as a PHP Developer, using frameworks such as Laravel, CodeIgniter and/or Symphony', 'Solid knowledge of Object-Oriented Programming (OOP) and Design Patterns', 'Deep understanding in database architecture and usage of MySQL, Memcached, Redis and/or ElasticSearch', 'Ability to manage, develop and work with API driven applications', 'Ability in and highly motivated to adapt new technical stacks', 'Self-taught and open-minded candidates are highly encouraged', 'Our current tech stacks: Mysql, PHP, Laravel, Docker, Bitbucket, Events Based, Redis, MongoDB', 'Nice to Have', 'Good English fluency and communication skills is a plus', 'Product driven mindset with an eagerness to learn and apply new technologies']",Negotiable,"['PHP', 'Laravel', 'CodeIgniter', 'MySQL', 'OOP', 'MongoDB', 'Design', 'Patterns', 'Memcached', 'Elasticsearch', 'Redis', 'BitBucket']","Quận 10, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/CubicStack-Solutions-logo.jpg,https://www.itjobs.com.vn/en/job/81713/php-developer
Senior Technical Project Manager,Bosch Global Software Technologies (BGSV),"['Project Management Expertise: Strong project management skills with the ability to plan, execute, and monitor complex technical projects. Experience with Agile methodologies, resource allocation, and risk management', ""Technical Proficiency: In-depth technical knowledge of OutSystems or similar low-code platforms to effectively guide the team and provide solutions to technical challenges. Ability to understand the platform's architecture, integrations, and customization capabilities"", 'Leadership Skills: Proven leadership capabilities to motivate and inspire a global team, fostering collaboration and productivity across geographically dispersed team members', 'Problem-Solving Abilities: Excellent problem-solving skills to address technical challenges, recommend solutions, and remove blockers that hinder project progress', 'Communication Skills: Clear and effective communication skills are essential for interacting with stakeholders, team members, and higher management to provide updates, address issues, and manage expectations', 'Budget Management: Experience in managing project budgets, tracking expenses, and ensuring the project stays within financial constraints', 'Adaptability: Ability to adapt to changing project requirements, timelines, and organizational priorities while keeping the team focused and aligned with project goals', 'OutSystems Platform Knowledge: Prior experience or willingness to quickly learn and master the OutSystems Workflow Platform, including its features, functionalities, best practices, and limitations', 'Delivery Focus: Dedication to delivering projects on time and within scope, ensuring high-quality standards are met while balancing time and resource constraints', 'Team Building: Skilled in building a high-performing team culture, fostering collaboration, mentoring team members, and resolving conflicts to maintain a positive work environment', 'Required Knowledge', 'Bachelor’s or master’s degree in computer science, Engineering, or related field. PMP certification is a plus', 'Minimum of 10 years of experience working in technology projects, with a focus on OutSystem development']",Negotiable,"['OutSystems', 'PMP']","Tân Bình, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/Bosch-Global-Software-Technologies-(BGSV)-logo.jpg,https://www.itjobs.com.vn/en/job/81733/senior-technical-project-manager
Mid/Senior .NET Developer,Simpson Strong-Tie Vietnam,"['If you can do everything listed above, you’ve got what it takes. Perhaps some of the following would be helpful too', ""At least 3 years' experience as a Full Stack Developer"", 'Experience in .NET Core, MVC, Web API, Entity Framework (core) and SQL Server, and Security Guidelines', 'Experience knowledge of software and application design and architecture', 'Experience architecting, developing, and deploying modern architectural patterns/techniques (Microservices, DDD, TDD', 'Experience working with Azure (or AWS) with CI/CD pipelines and testing', 'Experience with multiple protocols in data processing and communications (https, MQTT, AMQP', 'Experience working in Service Mesh, Containers, Message broker, Event as Docker, and Azure DevOps, Azure Service Bus, and Service Fabric', 'Good supporting a production service in a DevOps-friendly environment', 'Be able to play as an proactive team member with high sense of commitment as well as quality and customer oriented mindset', 'Self-motivation, integrity, trustful, positive thinking and open-minded', 'Good problem-solving and analytical skills', 'Good verbal and written communication in English is required']",Negotiable,"['.NET', 'Core', 'MVC', 'Web', 'API', 'Entity', 'TDD', 'MS', 'SQL', 'AMQP', 'MS', 'Azure', 'MQTT', 'DDD', 'Azure', 'Service', 'Bus', 'AWS', 'Microservices', 'Azure', 'DevOps', 'HTTPS', 'CI/CD']","Tân Bình, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/Simpson-Strong-Tie-Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81734/mid-senior-.net-developer
.NET Team Leader,TOG recruitment,"['Job Qualifications', 'Over 3 years of experience in Lead Team or other positions related', 'At least 3 years of experience in Scrum Master role', 'Above 8 years of experience in C', 'Microsoft .NET, .NET Core, SQL Server', 'Microsoft Azure DevOps/ Github', 'Experience with ReactJS', 'Familiarity with CI/CD pipelines (Azure DevOps) is a plus', 'Good written and verbal communication skills in English', 'Good at', 'Project Management skills', 'Leadership skills', 'Problem-solving skills', 'Communication', 'Logical thinking', 'Team-working']",Up to 91000000VND,"['C#', '.NET', 'MS', 'Azure', 'Github', 'Redux', 'ReactJS', '.NET', 'Core', 'Azure', 'DevOps']","Quận 3, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/TOG-recruitment-logo.jpg,https://www.itjobs.com.vn/en/job/80716/net-team-leader
DevOps Engineer (MS Azure),TOG recruitment,"['Job requirements', 'The ambition and curiosity to keep learning and growing', 'You are proactive and self-organizing', 'You work well with others', 'Ambition to create a great company/team that everyone contributes to and can be proud of', 'At least 3-5 years of experience within the DevOps specialty', 'Ability to implement a build strategy (deploying, versions management, logging and monitoring', 'Deep knowledge of Azure DevOps, CI/CD, IaC and its tools', 'Strong experience and deep knowledge of Microsoft Azure, from common features to data security solutions', 'The ability to work with scenarios, cloud architectures, and concepts', 'Strong English skills']",Up to 70000000VND,"['DevOps', 'MS', 'Azure', 'Azure', 'DevOps', 'IaC', 'CI/CD']","Quận 3, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/TOG-recruitment-logo.jpg,https://www.itjobs.com.vn/en/job/81657/devops-engineer-ms-azure
Middle Back End Developer,CJ OliveNetworks,"['2~4 years of experience as a backend engineer working with NodeJS and Java/J2EE, Java Core, Spring Boot', 'Working proficiency in English and ability to communicate with foreign clients, especially Korean', 'Experience with databases such as MySQL, Oracle, PostgreSQL', 'Experience with AWS services: S3, EC2, RDS, Lambda, etc. is a plus', 'Experience in using CI/CD pipelines and tools', 'Maintain a good coding standard, familiar with Test Driven Development', ""Willingness to adapt flexibly to changes in clients' requirements and urgent requests is a plus""]",Negotiable,"['Java', 'J2EE', 'NodeJS', 'Core', 'Java', 'Oracle', 'PostgreSQL', 'MySQL', 'TDD', 'AWS', 'Lambda', 'Amazon', 'S3', 'Amazon', 'RDS', 'AWS', 'Spring', 'Boot', 'Amazon', 'EC2', 'CI/CD']","Quận 1, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/CJ-OliveNetworks-logo.jpg,https://www.itjobs.com.vn/en/job/81708/middle-back-end-developer
.NET Backend Developer,Thai Son Soft,None,Up to 1800,"['C#', 'ASP.NET', 'MVC', '.NET', 'Core', 'JavaScript', 'jQuery', 'HTML5', 'CSS3', 'PostgreSQL', 'MySQL', 'IIS', 'OOP', 'Web', 'Services', 'SignalR', 'MongoDB', 'HyperSQL', 'Memcached', 'NodeJS', 'MS', 'SQL', 'AngularJS', 'Elasticsearch', 'Redis', 'UI/UX']","Cầu Giấy, Hà Nội",Full Time,https://www.itjobs.com.vn/upload/Employer/Thai%20Son%20Soft-logo.jpg,https://www.itjobs.com.vn/en/job/81709/net-backend-developer
Quality Control Engineer,MODEC,"['Requirements', '2-5 year experience in application testing', 'Experience with project management tools (e.g Jira, Trello, AzureDevops', 'Strong knowledge of software QA methodologies, tools and processes', 'Experience in writing clear, concise and comprehensive test plans and test cases', 'Experience with BDD/Cucumber is a plus', 'Enjoy working in a startup environment', 'Intermediate english proficiency is mandatory, interview will be conducted in English']",Up to 2000,"['Jira', 'Trello', 'Azure', 'DevOps', 'Test', 'Plan', 'Test', 'Case', 'BDD', 'Cucumber']","Vũng Tàu, Bà Rịa-Vũng Tàu",Full Time,https://www.itjobs.com.vn/upload/Employer/MODEC-logo.jpg,https://www.itjobs.com.vn/en/job/81710/quality-control-engineer
Senior Backend Developer,MODEC,"['Requirement', '5 years of professional backend software development experience', 'Additional frontend (ex. React.js) experience will be greatly valued as well', 'Well-versed in working within the agile environment', 'Familiarity with microservices', 'Strong analytical and creative problem‐solving skills', 'Excellent written and oral communication skills in English', 'Capable of thinking out of the box and excited about trying new solutions, willing to challenge status quo', 'Experience in developing complex enterprise software applications that span multiple organizations and business units', 'Experience in Python/Django and MySQL/Postgre', 'Nice to have', 'Strong knowledge in DevOps and Cloud technology (Azure / AWS', 'Experience in mentoring team members and coordinating development tasks', 'Track record of delivering integrated solutions to address data and resource‐intensive business requirements', 'Start‐up experience', 'Familiarity with the Oil and Gas industry']",Negotiable,"['Python', 'Django', 'MySQL', 'PostgreSQL', 'ReactJS', 'Microservices']","Vũng Tàu, Bà Rịa-Vũng Tàu",Full Time,https://www.itjobs.com.vn/upload/Employer/MODEC-logo.jpg,https://www.itjobs.com.vn/en/job/81711/senior-backend-developer
