job_title,company_name,requirement,salary,location,image_link,job_url
AI Engineer / AI Engineer - Income Upto 30 Million - In Hanoi,CÔNG TY TNHH VALTEC VIỆT NAM,"[""- Bachelor's degree or higher in Information Technology, Computer Science, Electronics and Telecommunications, Mechatronics or related fields;\n- Proficient in Python or C/C++. Proficient in these fields library for Computer Vision (PyTorch, OpenCV, etc.);\n- Proficient in Linux & Docker;\n- Experience in deploying AI applications using web app and processing real-time data from cameras. \n- Experience working with embedded devices and optimizing AI models using different frameworks (TensorRT / ONNX / OpenVINO);\n- Ability to independently read and research new technologies and articles science;\n- Ability to work in teams & communicate in English;\n- Experience in designing & implementing systems that run in practice with high reliability & scalability.\nMandatory Requirements\ n- Bachelor's degree or higher in Information Technology, Computer Science, Electronics & Telecommunications, Mechatronics, or related fields.\n- Proficient in Python or C/C++.\n- Proficient in Python or C/C++. n- Proficient in Linux & Docker.\n- Experience in deploying AI applications through web apps and processing real-time data from cameras.\nPreferences\n- Experience with embedded devices and optimizing AI models with different frameworks (TensorRT / ONNX / OpenVINO ).\n- Ability to independently read & research new technologies and scientific skills.\n- Teamwork & ability to communicate in English.\n- Experience in designing articles & deploying systems in real environments with high reliability & scalability.""]",Up to 30 million,"- Hanoi: Sao Mai Building, 19 Le Van Luong, Thanh Xuan",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-valtec-viet-nam-dac6a0dc91e6fc33b65d11686e92a86f-661dd3f74622f.jpg,https://www.topcv.vn/viec-lam/ky-su-ai-ai-engineer-thu-nhap-upto-30-trieu-tai-ha-noi/1303728.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Frontend Developer (VueJS/NuxtJS),CÔNG TY CỔ PHẦN MIGHTYID VIETNAM,"['- Master of HTML, CSS, SCSS, JS\n- Experience with the following frameworks: VueJS, NuxtJS (React-Native is a plus)\n- Knowledge of RestAPI, WebSocket.\n- Proficient git, Github, Gitlab\n- Can use design tools such as: PTS, Figma\n- Knowing more about Nodejs, PHP is a plus\n- Dynamic, creative and willing to learn\n- Technical teamwork skills\n- English communication']",The deal,- Ho Chi Minh: District 3,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-mightyid-vietnam-5b1ea46daf8054e6660bff887a9707e1-65dd85dd3b546.jpg,https://www.topcv.vn/viec-lam/frontend-developer-vuejs-nuxtjs/1301226.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Senior Developer Fullstack (HCM) - Salary 20M - 40M,CÔNG TY TNHH MỘT THÀNH VIÊN WIN ADS,"['At least 2 years of experience in technologies and web apps.\nStrong skills in PHP Web source code, Mongo DB and MVC frameworks.\nExperience with HTML, CSS, JavaScript (Jquery, Ajax), Bootstrap and JSON.\nUnderstanding of relational database management systems such as MySQL, PostgreSQL.\nAbility to architect and design the best standards for the project.\nAbility to handle performance issues product productivity if there are requests from superiors.\nAbility to read and understand English documents.\nMultitasking, collaboration, presentation skills, strategic and tactical thinking, and research and development skills strong growth.']",20 - 40 million,"- Ho Chi Minh: No. 77 Bau Cat 6, Ward 14, Tan Binh",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/EfU0ArNfvczZsV3XgQtX5vZ5QqzOoZDD_1712989489____e541ae02c17a625d25694796cda1f3a7.jpg,https://www.topcv.vn/viec-lam/senior-developer-fullstack-hcm-salary-20m-40m/1301941.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Back-End Developer ( NodeJS ),LOTUS SOFT,"[""Has an IT background and graduated with a bachelor's degree in IT or related fields.\n1-2 years of experience on Back-end NodeJS. (NestJS, ExpressJS).\nExperience with both SQL/NoSQL databases (SQL Server, MySQL , MongoDB, Postgre...)\nExperience working with cloud (AWS, Azure).\nExperience working with Docker.\nExperience working with Web3 and interacting with Smart Contract is a Plus.\nExcellent problem-solving skills and ability to think out -of-the box..\nExperience in GIT, JIRA, Confluence.\nCan communicate in English (Speaking and Listening).\nWillingness to learn and work on new technologies if required\nWillingness to share working time on multiple projects.""]",The deal,"- Ho Chi Minh: Level 6, Thuy Loi 4 Building, 286-288 Nguyen Xi St, Ward 13, Binh Thanh",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/lotus-soft-f46e9074dba40dbd3e4ded72652661d2-6617b7b8a8cee.jpg,https://www.topcv.vn/viec-lam/back-end-developer-nodejs/1299605.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Front-End Developer (React.JS) Salary Upto 2000$,CÔNG TY CỔ PHẦN STRINGEE,"['At least 1 year of experience working with ReactJS in a web development environment.\nProficient in JavaScript, jQuery, Bootstrap, Typescript, ES6, CSS3, HTML5, ESLint.\nMaster of object-oriented programming with JavaScript.\ nExperience developing and integrating RESTful APIs,.\nExperience implementing responsive web interfaces, ensuring a smooth user experience across a variety of devices and screen sizes.']","Up to 2,000 USD","- Hanoi: Floor 19, Leadvisors Tower, 643 Pham Van Dong, Co Nhue, Bac Tu Liem",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/b6a9197abf1fb50d875a1aa78ce6baea-61480a5153262.jpg,https://www.topcv.vn/viec-lam/front-end-developer-react-js-luong-upto-2000/1300330.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Python API/ VueJs/ Angular Programmer in Hanoi - Salary Up to $1500,Công ty TNHH Tap Hospitality Vietnam,"['1- For Python API programmer:\n• From one year of Python programming experience and have worked with one of the frameworks such as Django/Flask/FastAPI\n• Have knowledge of Docker, RESTful APIs, OpenAPI, SQLAlchemy is an advantage.\n• Experience with database management systems: MySQL, PostgreSQL,...\n2- With VueJs/Angular programmer:\n• From one year of programming experience VueJs/Angular program\n• Proficient in HTML/CSS and Javascript, TypeScript\n• Experience in UX, UI, State Management, Functional Programming is an advantage.\n• Understand RESTful APIs, authentication...\ n• Have experience working with Git, SVN.\n• Willing to learn new techniques.\n• Have a serious and independent working spirit as well as good Teamwork.']","Up to 1,500 USD","- Hanoi: 10th Floor, CMC Building, 11 Duy Tan Street, Cau Giay",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-tap-hospitality-vietnam-5e797cad4eb86.jpg,https://www.topcv.vn/viec-lam/lap-trinh-vien-python-api-vuejs-angular-tai-ha-noi-luong-len-den-1500/1305501.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
"Software Developer (NET/C#, Java, Python)",Công ty TNHH OSCO International,"['- Graduated from university majoring in information technology, software....\n- Use several programming languages: .NET/C#, Java, Python, Web Service\n- Have knowledge about SQL\n- Programming with database systems: MSSQL, MySQL, Postgres, Oracle\n- Proficient in HTML, CSS, Bootstrap, Javascript, Jquery\n- Experience using GIT such as GitHub/GitLab, Docker container\n- Ability to analyze and synthesize data from different data sources.\n- Skills to work independently, good teamwork.\n- Active, diligent, honest, able to work under pressure Job.\n- Priority is given to having experience implementing business management software solutions, especially businesses related to production, processing, software construction, database design, big data.\nINFORMATION OTHER NEWS\nDegree: University\nGender: Male\nAge: No age limit']",15 - 30 million,#NAME?,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-osco-international-628c64ddb8895.jpg,https://www.topcv.vn/viec-lam/software-developer-net-c-java-python/1299996.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Back-End Developer - 4 Years Of Experience - Salary From 25-50 Million,TNHH APPTIFACT,"['Qualifications:\n● Minimum of 4 years of experience in back-end web development, with a strong focus\non Laravel PHP projects.\n● Bachelor's degree in Computer Science, Information Technology, or related fields.\n● Proficiency in Laravel PHP, including an in-depth understanding of its ecosystem, ORM,\nand package management.\n● Experience with Node.js using the Express framework preferred.\n● Experience in managing databases with MongoDB and integrating RESTful APIs.\ n● Familiarity with CI/CD practices, front-end build pipelines, and modern deployment\ntools.\n● Experience with AWS Cloud services, enhancing project scalability and deployment.\n● Strong problem-solving skills in a team-oriented, fast-paced environment.\n● Candidates with additional experience in other back-end languages ​​or frameworks are\nhighly desirable.']",25 - 50 million,"- Ho Chi Minh: Sarina Block A Building, Street B2, An Loi Dong Ward, District 2, Ho Chi Minh City, District 2",https://www.topcv.vn/v4/image/normal-company/logo_default.png,https://www.topcv.vn/viec-lam/back-end-developer-4-years-of-experience-luong-tu-25-50-trieu/1307288.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Software Developer / Software Engineer Salary From 2000USD,LOADING SYSTEMS APAC COMPANY LIMITED,"['You have a completed HBO education in the field of ICT (preferably application development);\nYou have experience with various programming languages, e.g. Javascript, Java, Python or C#;\nYou have experience with MS SQL server, maintenance plans and writing SQL queries;\nYou have experience with web development (html, css, etc.);\nYou are able to work both in a team and independently, organize your work efficiently and, where possible, identify improvements;\nYou have a very good command of the English language;\nYou have good analytical skills and experience with problem analysis and problem solving;\nYou have knowledge of Atlassian tooling ( Jira, Bitbucket and Confluence);\nYou are open to new working methods such as SCRUM, DevOps, etc;\nYou are energized by customer or user support;\nKnowledge and experience with ERP systems is a plus.']","Over 2,000 USD",#NAME?,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/loading-systems-apac-company-limited-0641f7c0fd675e67383f2342480feb64-66188ac6729dd.jpg,https://www.topcv.vn/viec-lam/software-developer-ky-su-phan-mem-luong-tu-2000usd/1300002.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
CNC Programmer / Operator - Salary From 10 - 16 Million,Công ty TNHH Jig & Tool Vina,"['- Male: Age 20 - 35, Agile, healthy\n- Professional requirements: Experience of 1 year or more\n- Graduated from Intermediate School, College, University in mechanical engineering, machine manufacturing, automation.\n- Proficient in using Cimantron or Mastercam software and tools: Autocad,...\n- Able to work overtime, overtime, ensuring production plans']",10 - 16 million,"- Hanoi: Lot 46B, Quang Minh Industrial Park, Me Linh",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-jig-amp-tool-vina-faa2a9938d83daaaacde76db6d9b639d-660fbaab61ee6.jpg,https://www.topcv.vn/viec-lam/nhan-vien-lap-trinh-van-hanh-cnc-luong-tu-10-16-trieu/1286778.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
"Vision Camera Embedded Programming Engineer (C#, C+, Requires 3-4 Years of Experience)",Công Ty TNHH Soul-Net,"['- Have 4-5 years of experience\n- Education: Graduated from University or higher from technical schools (Polytechnic, industrial, military technical academy, transportation and other technical schools )\n- - Have experience, know how to program C+, C# and have good programming thinking.\n- Able to work independently and work well in groups\n- Can withstand work pressure, eager to learn ask, passionate about technology. ""\n- WORK LOCATION: BAC NINH CITY, SUPPORT KITCHEN FOR REMOTE CANDIDATES.']",Over 20 million,#NAME?,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-soul-net-bb22dacf444a7e0e5e5a552b802ab77c-6614bfa29d11d.jpg,https://www.topcv.vn/viec-lam/ky-su-lap-trinh-nhung-camera-vision-c-c-yeu-cau-3-4-nam-kinh-nghiem/1295480.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Java Developer,CÔNG TY TNHH BYTEUP TECHNOLOGY,"['Diploma / bachelor's degree / Professional Certificates in Computer Science / Information Technology / Software Engineering, etc)\nAt least 4 years of relevant experience in full stack web development.\nFamiliar with Java, JavaScript, SQL, and Shell Scripts\nCandidate should possess a good understanding of and practical experience with Java Web based application development.\nStrong Java skills and object-oriented design experience, and design patterns.\nExperience in using Spring & Hibernate in programming works are highly preferred.\nFamiliar with Unix/Linux environment.\nFamiliar with different source control tools.\nGood knowledge with microservices is an added advantage.\nExperience in database performance tuning and query enhancement is an added advantage.\nExperience in dev-ops relevant tasks is an added advantage.\nKnowledge on Billing/charging interface/API is an added advantage.\nAbility to work with customers and identify adoption barriers and put forth plans to address these issues.\nExcellent analysis, problem solving, teamwork and communication skills.\nWilling to go extra mile to get job done at high standard.\nLanguage(s): Vietnamese and English as the role requires candidate to work with\ninternational team.\nApplicants should be Vietnamese citizens or hold relevant residence status']","1,500 - 3,000 USD",#NAME?,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/02fd70c146b016439a972c201f4c0eae-65f14f161bde9.jpg,https://www.topcv.vn/viec-lam/java-developer/1298083.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Salesforce Developer/Salesforce Programmer Salary From 300 USD,LOADING SYSTEMS APAC COMPANY LIMITED,"['You have a completed college education in the field of ICT (preferably application development);\nYou have experience with and knowledge of software development within Salesforce, for at least 3 years;\nYou have experience with Apex, HTML, Javascript, CSS , JSON or Rest(ful) integrations;\nYou have experience with MS SQL server and writing SQL queries;\nYou are able to work both in a team and independently, organize your work efficiently and, where possible, identify improvements;\nYou have a very good command of the English language;\nYou have good analytical skills and experience with problem analysis and problem solving;\nYou have knowledge of Atlassian tooling (Jira, Bitbucket and Confluence);\nYou are open to new working methods such as SCRUM , DevOps, etc;\nYou are energized by customer or user support;\nKnowledge and experience with ERP systems is a plus;\nKnowledge and experience with CAD systems within a programming environment is a plus.']","Over 3,000 USD",#NAME?,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/loading-systems-apac-company-limited-0641f7c0fd675e67383f2342480feb64-66188ac6729dd.jpg,https://www.topcv.vn/viec-lam/salesforce-developer-lap-trinh-vien-salesforce-luong-tu-300-usd/1300003.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Reactjs Developer (Middle/ Senior) - Salary Upto 30M,XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,"['At least 2 years of experience with JavaScript, React.js.\nKnowledgeable about HTML5, CSS3, SASS, SCSS, and Bootstrap CSS.\nExperience working with Git, Restful API, and GraphQL.\nUnderstanding design trends such as Metro, Flat, Material, Fluent, etc., is an advantage.\nDetail-oriented, well-organized, agile, and eager to learn.\nStrong skills in UI, and UX are a plus.\nPreference for candidates with PHP experience and aspiring to become Fullstack Developers.']",15 - 30 million,"- Hanoi: November 18, Thai Ha, Dong Da",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/498IvFMDo2L60nGzXP3a0Y75xxrC3S4g_1653639891____c1dbad37e1ff62ce9f069436a1dbbdf4.png,https://www.topcv.vn/viec-lam/reactjs-developer-middle-senior-luong-upto-30m/1303042.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Software Developer (C/C++),Công ty TNHH Shinhan DS Việt Nam,"['From 3 years of experience in Software Development/Embedded Development\nProficiency in C/C++ based on Unix, Linux.\nFamiliar with SQL/Oracle.\nGood to have: Pro C and Finance & Banking field.\nGood problem-solving & communication skills.\nDetail-oriented, proactive, and fast learner.\nCan communicate in English.']",The deal,"- Ho Chi Minh: Centec Tower, 72-74 Nguyen Thi Minh Khai, Vo Thi Sau Ward, District 3, Ho Chi Minh City, District 3",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/Q6DbjQ20opnjccm2dkOgOPstXqDqr0fj_1702522936____93cd99459ede1e6386ebf60c9127ccf9.png,https://www.topcv.vn/viec-lam/software-developer-c-c/1282162.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Programming and Operating CNC Lathe,Công Ty TNHH Kỹ Thuật ASG Việt Nam,"['Proficient in programming Fanuc CNC lathes\nProficient in reading and understanding drawings\nMale, under 45 years old']",The deal,#NAME?,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-ky-thuat-asg-viet-nam-5c80ec86aae2d_rs.jpg,https://www.topcv.vn/viec-lam/lap-trinh-va-van-hanh-tien-cnc/1288059.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
